00c5	0252	ɒ
00c7	0297	ʗ
00e5	0251	ɑ
00e7	00e6	æ
2020	019f	Ɵ
00b0	0153	œ
00a2	027e	ɾ
00a3	0272	ɲ
2022	0268	ɨ
00b6	0259	ə
00df	0283	ʃ
00ae	0279	ɹ
00a9	0263	ɣ
2122	1d8a	ᶊ
00c6	0250	ɐ
00d8	00f8	ø
221e	025a	ɚ
2264	02d1	ˑ
2265	02d0	ː
00a5	0265	ɥ
00b5	026f	ɯ
2202	00f0	ð
2211	028d	ʍ
220f	1d87	ᶇ
03c0	0278	ɸ
222b	03b2	β
00aa	0277	ɷ
00ba	0294	ʔ
03a9	0292	ʒ
00e6	02cc	ˌ
00f8	0254	ɔ
00a1	0225	ȥ
00ac	026c	ɬ
221a	0289	ʉ
0192	028e	ʎ
2248	03c7	χ
2206	02b8	ʸ
00ab	01ab	ƫ
00bb	1d81	ᶁ
2026	026e	ɮ
00c3	0131	ı
0152	1d1a	ᴚ
0153	0262	ɢ
25ca	028b	ʋ
2044	00b7	·
20ac	0194	Ɣ
2039	0273	ɳ
203a	0280	ʀ
fb01	025d	ɝ
2021	028c	ʌ
00b7	221e	∞
201a	0295	ʕ
201e	0257	ɗ
2030	025b	ɛ
00c2	027d	ɽ
00ca	0288	ʈ
00c1	028f	ʏ
00cb	1d1c	ᴜ
00c8	026a	ɪ
00cd	0282	ʂ
00ce	0256	ɖ
00cf	1d89	ᶉ
00cc	0260	ɠ
00d3	0127	ħ
00d4	025f	ɟ
f8ff	0199	ƙ
00d2	026d	ɭ
00da	1d85	ᶅ
00db	0290	ʐ
00d9	0255	ɕ
0131	0253	ɓ
02c6	014b	ŋ
02dc	0271	ɱ
00af	02c2	˂
02d8	02c3	˃
02d9	0266	ɦ
02da	02b7	ʷ
