00c5	0252
00c7	0297
00e5	0251
00e7	00e6
2020	019f
00b0	0153
00a2	027e
00a3	0272
2022	0268
00b6	0259
00df	0283
00ae	0279
00a9	0263
2122	1d8a
00c6	0250
00d8	00f8
221e	025a
2264	02d1
2265	02d0
00a5	0265
00b5	026f
2202	00f0
2211	028d
220f	1d87
03c0	0278
222b	03b2
00aa	0277
00ba	0294
03a9	0292
00e6	02cc
00f8	0254
00a1	0225
00ac	026c
221a	0289
0192	028e
2248	03c7
2206	02b8
00ab	01ab
00bb	1d81
2026	026e
00c3	0131
0152	1d1a
0153	0262
25ca	028b
2044	00b7
20ac	0194
2039	0273
203a	0280
fb01	025d
2021	028c
00b7	221e
201a	0295
201e	0257
2030	025b
00c2	027d
00ca	0288
00c1	028f
00cb	1d1c
00c8	026a
00cd	0282
00ce	0256
00cf	1d89
00cc	0260
00d3	0127
00d4	025f
f8ff	0199
00d2	026d
00da	1d85
00db	0290
00d9	0255
0131	0253
02c6	014b
02dc	0271
00af	02c2
02d8	02c3
02d9	0266
02da	02b7
