# This file maps from the SILDoulosIPA font, copyrighted by SIL in 1993, to Unicode. The font
# differs from the map in AMPHON-map.txt. The map is partly identical to and
# partly different from SIL-IPA-1990-map.txt. The map is partly identical to and partly
# different from that of SIL-IPA93-2001.txt, with the differences including:
# 0067
# 0080-009f
# 00a1
# 00a4
# etc.
# No mapping file provided by SIL appears to duplicate this file. Searches through the entire
# collection found differences between this and all others.
# Map constructed by Susan Colowick.

from	to
SD	Unicode
0021	030b
0022	0131
0023	0304
0024	0300
0025	030f
0026	030c
0027	02bc
0028	0306
0029	0303
002a	030a
002b	031f
002d	0324
002f	0294
0030	0330
0031	0318
0032	0319
0033	031d
0034	031e
0035	032a
0036	033b
0037	031c
0038	0325
0039	032f
003a	00b9
003b	029f
003c	207f
003d	0331
003e	02d1
003f	02a1
0040	0301
0041	0251
0042	03b2
0043	00e7
0044	00f0
0045	025b
0046	0264
0047	0262
0048	02b0
0049	026a
004a	02b2
004b	029c
004c	026e
004d	0271
004e	014b
004f	00f8
0050	0275
0051	00e6
0052	027e
0053	0283
0054	03b8
0055	028a
0056	028b
0057	02b7
0058	03c7
0059	028f
005a	0292
005e	0302
005f	0308
0060	0329
007b	0280
007c	02fa
007d	027d
007e	033d
00a1	0318
00a2	031e
00a3	031f
00a4	0301
00a5	028e
00a7	032c
00a8	0289
00a9	0260
00aa	032f
00ab	0329
00ac	026c
00ae	0279
00af	0272
00b1	031f
00b4	0259
00b5	026f
00b6	0327
00b8	0291
00ba	0330
00bb	030d
00bf	02a2
00c0	031f
00c1	0265
00c2	0270
00c3	2197
00c4	02e9+02e8
00c5	0252
00c6	031+0335
00c7	0188
00c8	0302
00c9	0361
00ca	0302
00cb	02e9+02e5
00cc	032e
00cd	0256
00ce	0257
00cf	02e0
00d1	2016
00d2	026d
00d3	0267
00d4	025f
00d5	2198
00d6	02e5+02e6
00d8	0152
00d8	030c
00d9	030c
00da	0303
00dc	02e5+02e9
00df	0282
00e0	02dd
00e1	0298
00e2	02dd
00e3	a71b
00e4	02e5
00e5	0250
00e6	0237
00e7	0254
00e8	0301
00e9	2750
00ea	0301
00eb	02e6
00ec	
00ed	
00ee
00ef	02e7
00f1	007c
00f2	0300
00f3	0021
00f4	0300
00f5	a71c
00f6	02e8
00f7	0295
00f9
00fa	01c2
00fb
00fc	02e9
00ff	
0131	0299
0152	025c
0153	02a0
0178
0192	0263
02c6	0268
02c7	0288
02d8	02d0
02d9	0266
02da	0199
02db	0255
02dc	0273
02dd	0298
03a9	0290
03c0	01a5
2013	0324
2014	033c
2018	025a
2019	02de
201a	0303
201c	0281
201d	027b
201e	028d
2020	01ad
2021	030c
2022	0325
2026	026b
2030
2039	0304
203a	0300
2122	0319
2206
220f	0278
2215	02dd	
2219	0306
221a	028c
221e	033a
222b	0253
2260	0331
2264	0274
2265	02e4
25ca	0192
f000	0127
f001	030f
f002	0302
